names,references,prices,descriptions,disponibilities,Système d'exploitation,Processeur,Réf processeur,Mémoire,Disque Dur,Carte Graphique,Réf Carte graphique,Taille Ecran,Type Ecran,Ecran Tactile,Lecteurs/Graveurs,Réseau,Caméra,Garantie,Taux de Rafraîchissement
PC PORTABLE ELITEBOOK 650 G10,859N5EA,4,"Écran 15.6"" Full HD (1920 x 1080), IPS - Processeur Processeur Intel Core i7-1355U 13e génération, (jusqu’à 5.0 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe 512 Go - Carte graphique Intel Iris Xe Graphics - Wi-Fi 6E - Bluetooth 5.3 - Appareil photo HD 720p - Deux haut-parleurs stéréo - 1x Thunderbolt 4 USB Type-C - 1x USB-C - 2x USB-A - 1x HDMI 2.1 - 1x stéréo combinée casque/microphone - 1x RJ-45 - Windows 11 Pro - Garantie 1 an",Sur commande,,Intel Core I7,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Oui,,"WiFi, Ethernet, Bluetooth",Webcam HD,1 An,
PC PORTABLE LENOVO THINKBOOK 15P G2 ITH,21B1000PFE,4,"Ecran 15.6"" Full HD IPS - Processeur Intel Core i7-11800H, 11é Génération, up to 4.6 GHz, 24 Mo de cache - Mémoire 16 Go - Disque SSD 512 Go - Carte graphique NVIDIA GeForce RTX 3050, 4 Go de mémoire dédiée - Lecteur d'empreintes digitales - Dolby Audio - Wifi 6 - Bluetooth - USB 3.2 - Thunderbolt 4 - HDMI 2.0 - RJ45 - Lecteur de cartes - Webcam - Windows 10-  Garantie 1 an",Sur commande,,Intel Core I7,,16 Go,512 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam HD,1 An,
PC PORTABLE DELL LATITUDE 7420,7420I7-3Y,4,"Ecran 14"" LED Full HD - Processeur Intel Core i7-1185G7, up to 4.8 GHz, 12 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD  - Carte graphique Intel Iris X - 2x USB type-C Thunderbolt - 1x USB 3.2 Gen 1 - 1x HDMI - Lecteur de cartes SD - Webcam Full HD + Mic - Wifi 6 - Bluetooth 5.2 - Lecteur d'empreintes digitales - Garantie 3 ans",Sur commande,,Intel Core I7,,16 Go,512 Go SSD,Graphique Intégrée,,"14""",Full HD,Non,,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE ASUS TUF GAMING A16 FA617XS,FA617XS-N4085W-2Y,4,"Écran 16"" Full HD+ (1 920 x 1 200, WUXGA), IPS antireflet - Taux de rafraîchissement: 165 Hz - Processeur AMD Ryzen 9 7940HS (jusqu'à 5.2 GHz, 16 Mo de mémoir cache) - Mémoire 16 Go DDR5 - Disque SSD NVMe M.2 512 Go  - Carte Graphique AMD Radeon RX 7600S, 8 Go de mémoir GDDR6 dédiée - Clavier Chiclet rétroéclairé - Caméra HD 720P - Wi-Fi 6 - Bluetooth 5.3 - 1x prise audio combinée 3.5 mm - 1x HDMI 2.1- 2x USB 3.2 - 1x USB-C 3.2 - 1x port LAN RJ45 - 1x Type C USB 4 - Système à 2 haut-parleurs - Windows 11 - Couleur Noir - Garantie 2 ans",En stock,,AMD Ryzen 9,,16 Go,512 Go SSD,AMD Radeon,,"16""",Full HD,Non,,WiFi - Bluetooth,Webcam Avec Micro,2 Ans,
"APPLE MACBOOK AIR M3 13"" (2024)",MRXN3FN/A,4,"Ecran Liquid Retina 13.6"" (2560 x 1664 pixels) - Processeur M3 (CPU 8 coeurs - GPU 10 coeurs - Neural Engine 16 coeurs) - Puce M3 - Mémoire: 8 Go - Stockage: 256 Go - Bluetooth 5.3 - Wi-Fi 6E - Port Jack ( Audio ) - 2 X Thunderbolt 4/USB-C - Adaptateur secteur: 35 W - Clavier AZERTY - Sécurité Touch ID - Couleur Gris - Garrantie 1 an",En stock,,Apple M3 Pro,,8 Go,256 Go SSD,,,"13.3""",,Non,,,,1 An,
"APPLE MACBOOK AIR M3 13"" (2024)",MRXV3FN/A,4,"Ecran Liquid Retina 13.6"" (2560 x 1664 pixels) - Processeur M3 (CPU 8 coeurs - GPU 10 coeurs - Neural Engine 16 coeurs) - Puce M3 - Mémoire: 8 Go - Stockage: 256 Go - Bluetooth 5.3 - Wi-Fi 6E - Port Jack ( Audio ) - 2 X Thunderbolt 4/USB-C - Adaptateur secteur: 35 W - Clavier AZERTY - Sécurité Touch ID - Couleur Bleu Minuit - Garrantie 1 an",Sur commande,,Apple M3 Pro,,8 Go,256 Go SSD,,,"13.3""",,Non,,,,1 An,
"APPLE MACBOOK AIR M3 13"" (2024)",MRXQ3FN/A,4,"Ecran Liquid Retina 13.6"" (2560 x 1664 pixels) - Processeur M3 (CPU 8 coeurs - GPU 10 coeurs - Neural Engine 16 coeurs) - Puce M3 - Mémoire: 8 Go - Stockage: 256 Go - Bluetooth 5.3 - Wi-Fi 6E - Port Jack ( Audio ) - 2 X Thunderbolt 4/USB-C - Adaptateur secteur: 35 W - Clavier AZERTY - Sécurité Touch ID - Couleur Silver - Garrantie 1 an",En stock,,Apple M3 Pro,,8 Go,256 Go SSD,,,"13.3""",,Non,,,,1 An,
PC PORTABLE HP ELITEBOOK 840 G10,81A48EA,4,"Écran 14"" WUXGA (1920 x 1200), IPS, antireflet - Processeur Intel Core i5-1335U 13ème génération, (jusqu'à 4.6 Ghz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD NVMe 512 Go - Carte graphique Intel UHD Intégré - 1 Lecteur Smart Card - Wi-Fi 6E - Bluetooth 5.3 - Caméra IR 5 Mpx - Clavier HP Premium rétroéclairé étanche - Couleur Silver - Windows 11 Pro - Garantie 1 an",Sur commande,,Intel Core I5,,8 Go,512 Go SSD,Graphique Intégrée,,"14""",WUXGA,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE HP ELITEBOOK 830 G10,81A41EA,4,"Écran 13.3"" WUXGA (1920 x 1200), IPS, antireflet - Processeur Intel Core i5-1335U 13ème génération, (jusqu'à 4.6 Ghz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD NVMe 512 Go - Carte graphique Intel Iris Xe Graphics - 2x Thunderbolt 4 USB-C - 2x USB-A - 1x HDMI 2.1 - 1 prise stéréo combinée casque/microphone - Wi-Fi 6E - Bluetooth 5.3 - Caméra IR 5 Mpx - Clavier HP Premium rétroéclairé étanche - Couleur Silver - Windows 11 Pro - Garantie 1 an",Sur commande,,Intel Core I5,,8 Go,512 Go SSD,Graphique Intégrée,,"13.3""",WUXGA,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE ASUS TUF GAMING A16 FA617XS,FA617XS-N4085W-32,4,"Écran 16"" Full HD+ (1 920 x 1 200, WUXGA), IPS antireflet - Taux de rafraîchissement: 165 Hz - Processeur AMD Ryzen 9 7940HS (jusqu'à 5.2 GHz, 16 Mo de mémoir cache) - Mémoire 32 Go DDR5 - Disque SSD NVMe M.2 512 Go  - Carte Graphique AMD Radeon RX 7600S, 8 Go de mémoir GDDR6 dédiée - Clavier Chiclet rétroéclairé - Caméra HD 720P - Wi-Fi 6 - Bluetooth 5.3 - 1x prise audio combinée 3.5 mm - 1x HDMI 2.1- 2x USB 3.2 - 1x USB-C 3.2 - 1x port LAN RJ45 - 1x Type C USB 4 - Système à 2 haut-parleurs - Windows 11 - Couleur Noir - Garantie 2 ans",En stock,,AMD Ryzen 9,,32 Go,512 Go SSD,AMD Radeon,,"16""",Full HD,Non,,WiFi - Bluetooth,Webcam Avec Micro,2 Ans,
PC PORTABLE LENOVO THINKBOOK 14 2-EN-1 G4 IML,21MX0011FE,4,"Écran tactile OGM, Multitouch 10 points 14"" WUXGA (1920x1200) IPS, verre Corning Gorilla - Processeur Intel Core Ultra 7 155U, (jusqu'à 4.8 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR5-5600 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel Graphics intégrée - Lecteur de carte microSD - 2x Enceintes stéréo, 2 W, Dolby Atmos, audio par HARMAN - Caméra Hybride FHD 1080p + IR avec obturateur de confidentialité - Pavé tactile multipoint sans bouton en Mylar avec surface en verre - Wi-Fi 6E - Bluetooth 5.3 - 2x USB-A 3.2 - 1x USB-C 3.2 - 1x USB-C (Thunderbolt 4) - 1x HDMI 2.1 - 1x prise combinée casque/microphone (3.5 mm) - Windows 11 Pro - Couleur Gris Luna - Garantie 1 an",En stock,,Intel Core Ultra 7,,16 Go,512 Go SSD,Graphique Intégrée,,"14""",WUXGA,Non,,,,1 An,
PC PORTABLE LENOVO LEGION PRO 5 16ARX8,82WM00CCFG-2Y,5,"Écran 16"" WQXGA (2 560 x 1 600), IPS antireflet, 240 Hz, DisplayHDR - Processeur AMD Ryzen 7 7745HX, (jusqu'à 5.1 GHz, 40 Mo de mémoire cache) - Mémoire 16 Go (2x 8 Go) DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4050, 6 Go de mémoire GDDR6 dédiée - 2x Haut-parleurs stéréo 2 W - Caméra FHD 1080p avec obturateur électronique - Clavier Rétroéclairage RVB 4 zones - Wi-Fi 6E - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x HDMI 2.1 - 1x prise combo casque/microphone (3.5 mm) - 1x USB 3.2 - 2x USB-C 3.2 - 3x USB 3.2 - Windows 11 - Couleur Gris onyx - Garantie 2 ans",En stock,,AMD Ryzen 7,,16 Go,1 To SSD,Nvidia GeForce,,"16""",WQXGA,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,2 Ans,
PC PORTABLE HP ELITEBOOK 860 G10,8A3L2EA,5,"Écran 16"" WUXGA (1920 x 1200), IPS, antireflet - Processeur Intel Core i7-1355U 13ème génération, (jusqu'à 5.0 Ghz, 12 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD NVMe 256 Go - Carte graphique Intel Iris Xe Graphics - 1 Lecteur Smart Card - Wi-Fi 6E - Bluetooth 5.3 - Caméra IR 5 Mpx - Clavier HP Premium rétroéclairé étanche - Couleur Silver - Windows 11 Pro - Garantie 1 an",En stock,,Intel Core I7,,8 Go,256 Go SSD,Graphique Intégrée,,"16""",WUXGA,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE LENOVO LEGION PRO 5 16ARX8,82WM00CCFG-2Y-24,5,"Écran 16"" WQXGA (2 560 x 1 600), IPS antireflet, 240 Hz, DisplayHDR - Processeur AMD Ryzen 7 7745HX, (jusqu'à 5.1 GHz, 40 Mo de mémoire cache) - Mémoire 24 Go DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4050, 6 Go de mémoire GDDR6 dédiée - 2x Haut-parleurs stéréo 2 W - Caméra FHD 1080p avec obturateur électronique - Clavier Rétroéclairage RVB 4 zones - Wi-Fi 6E - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x HDMI 2.1 - 1x prise combo casque/microphone (3.5 mm) - 1x USB 3.2 - 2x USB-C 3.2 - 3x USB 3.2 - Windows 11 - Couleur Gris onyx - Garantie 2 ans",En stock,,AMD Ryzen 7,,24 Go,1 To SSD,Nvidia GeForce,,"16""",WQXGA,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,2 Ans,
PC PORTABLE GAMER ASUS TUF GAMING A15 TUF507UI,TUF507UI-LP063W,4,"Écran 15.6"", Full HD (1920 x 1080), IPS, anti-reflets - Taux de rafraîchissement: 144 Hz G-Sync - Processeur AMD Ryzen 9 8940HS, (jusqu’à 5.2 GHz, 24 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Clavier chiclet rétroéclairé RGB - Caméra 720P HD - 2x haut-parleurs 2 W Dolby Atmos - Wi-Fi 6 - Bluetooth 5.2 - 1x jack audio 3.5mm - 1x HDMI 2.1 - 2x USB 3.2 - 1x USB 3.2 Type-C - 1x port LAN RJ45 - 1x Type C USB 4 DisplayPort - Windows 11 - Couleur Noir - Garantie 1 an",En stock,,AMD Ryzen 9,,8 Go,512 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,1 An,
PC PORTABLE GAMER MSI KATANA 17 B13VGK,B13VGK-1226XFR,4,"Écran 17.3"" Full HD (1920x1080), 144Hz, IPS - Processeur Intel Core i7-13620H 13e génération, (jusqu’à 4.9 GHz, 24 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Webcam HD 720p - Clavier de jeu RVB à 4 zones - Wi-Fi 6 - Bluetooth 5.2 - 2 haut-parleurs 2 W - 1x prise combinée entrée micro/sortie casque - 1x USB 3.2 Type-C - 2x USB 3.2 - 1x USB 2.0 - 1x HDMI 2.1 - 1x RJ45 - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Core I7,,16 Go,1 To SSD,Nvidia GeForce,,"17.3""",Full HD,Non,,,,1 An,
PC PORTABLE LENOVO LEGION PRO 5 16ARX8,82WM00CCFG-2Y-32,5,"Écran 16"" WQXGA (2 560 x 1 600), IPS antireflet, 240 Hz, DisplayHDR - Processeur AMD Ryzen 7 7745HX, (jusqu'à 5.1 GHz, 40 Mo de mémoire cache) - Mémoire 32 Go DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4050, 6 Go de mémoire GDDR6 dédiée - 2x Haut-parleurs stéréo 2 W - Caméra FHD 1080p avec obturateur électronique - Clavier Rétroéclairage RVB 4 zones - Wi-Fi 6E - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x HDMI 2.1 - 1x prise combo casque/microphone (3.5 mm) - 1x USB 3.2 - 2x USB-C 3.2 - 3x USB 3.2 - Windows 11 - Couleur Gris onyx - Garantie 2 ans",En stock,,AMD Ryzen 7,,32 Go,1 To SSD,Nvidia GeForce,,"16""",WQXGA,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,2 Ans,
PC PORTABLE GAMER MSI KATANA 17 B13VGK,B13VGK-1226XFR-24,4,"Écran 17.3"" Full HD (1920x1080), 144Hz, IPS - Processeur Intel Core i7-13620H 13e génération, (jusqu’à 4.9 GHz, 24 Mo de mémoire cache) - Mémoire 24 Go DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Webcam HD 720p - Clavier de jeu RVB à 4 zones - Wi-Fi 6 - Bluetooth 5.2 - 2 haut-parleurs 2 W - 1x prise combinée entrée micro/sortie casque - 1x USB 3.2 Type-C - 2x USB 3.2 - 1x USB 2.0 - 1x HDMI 2.1 - 1x RJ45 - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Core I7,,24 Go,1 To SSD,Nvidia GeForce,,"17.3""",Full HD,Non,,,,1 An,
PC PORTABLE LENOVO THINKPAD T14 GEN 5,21MMS7TX00-3Y,4,"Écran tactile 14"" WUXGA (1920 x 1200 px), IPS - Processeur Intel Core Ultra 5 135U, (jusqu’à 4.4 GHz, 12 Mo de mémoire cache) - Mémoire 32 Go LPDDR5X - Disque SSD M.2 NVMe 1 To - Carte graphique Intel Graphics intégrée - 2x haut-parleurs de 2 W, Dolby Audio - Micros à double réseau - Caméra 5MP RVB et infrarouge (IR) avec obturateur de confidentialité pour webcam - 2x USB-C Thunderbolt 4 - 2x USB-A - HDMI 2.1 - Combo casque/micro - WiFi 6E - Bluetooth 5.3 - Clavier Rétroéclairé - Lecteur d'empreintes digitales - Windows 11 - Couleur Noir - Garantie 3 ans",En stock,,Intel Core Ultra 5,,16 Go,1 To SSD,Graphique Intégrée,,"14""",WUXGA,Non,,,,3 Ans,
PC PORTABLE LENOVO THINKPAD T14 GEN 4,21HD008DFE-3Y,4,"Ecran 14"" WUXGA IPS Anti-éblouissement - Processeur Intel i7-1355U, 13è Génération, up to 5 Ghz, 12 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD M.2 PCIe 3.0x4 NVMe - Carte graphique Intel® Iris® Xe UHD intégrées - Wifi 6 - 1x lecteur carte microSD - 1x HDMI - 2x Thunderbolt - 4 - 2x USB 3.2 Gen 1 - 1x USB-C 3.2 Gen 2 - 1x Ethernet (RJ-45) - 1x Casque /prise combo microphone (3.5mm) - Windows 11 - Couleur : Gris - Garantie 3 ans",En stock,,Intel Core I7,,16 Go,,Graphique Intégrée,,,,,,WiFi - Bluetooth,,3 Ans,
PC PORTABLE GAMER MSI KATANA 17 B13VGK,B13VGK-1226XFR-32,4,"Écran 17.3"" Full HD (1920x1080), 144Hz, IPS - Processeur Intel Core i7-13620H 13e génération, (jusqu’à 4.9 GHz, 24 Mo de mémoire cache) - Mémoire 32 Go DDR5 - Disque SSD M.2 NVMe 1 To - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Webcam HD 720p - Clavier de jeu RVB à 4 zones - Wi-Fi 6 - Bluetooth 5.2 - 2 haut-parleurs 2 W - 1x prise combinée entrée micro/sortie casque - 1x USB 3.2 Type-C - 2x USB 3.2 - 1x USB 2.0 - 1x HDMI 2.1 - 1x RJ45 - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Core I7,,32 Go,1 To SSD,Nvidia GeForce,,"17.3""",Full HD,Non,,,,1 An,
PC PORTABLE ASUS TUF507VI,TUF507VI-LP089W,4,"Écran 15.6"" Full HD IPS - Processeur : Intel Core i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Mémoire : 8 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA GeForce RTX 4070 (8 Go de mémoire dédiée GDDR6 - WiFi - Bluetooth - 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C - support DisplayPort™ - 1x Thunderbolt™ 4 support DisplayPort™ - 1x HDMI 2.1 - 1x RJ45 - 1x prise audio combinée 3,5 mm - Clavier Chiclet Rétroéclairé 1 zone RVB - Windows 11 - Garantie: 1 an",En stock,,Intel Core I7,,8 Go,,Nvidia GeForce,,,,,,,,1 An,
APPLE MACEBOOK AIR M2 8GO,MQKW3FN/A,5,"Écran Liquid Retina 15.3"" avec True Tone - Puce Apple M2 - Processeur 8 cœurs, (GPU à 10 cœurs et moteur neuronal à 16 cœurs) - Mémoire 8 Go - Disque SSD 256 Go - Caméra FaceTime HD 1080p - Port de charge MagSafe 3 - 2x Thunderbolt/USB 4 - USB-C - Prise casque - Magic Keyboard rétroéclairé avec Touch ID - Bluetooth - Wi-Fi 6 - Couleur Bleu Midnight - Garantie 1 an",En stock,,Apple M2,,8 Go,256 Go SSD,,,"14"" - 15.6""",,,,,,1 An,
APPLE MACBOOK AIR M2,MQKR3FN/A,5,"Ecran 15.6"" LED IPS Retina - Résolution : 2880 x 1864 Pixels - Processeur Apple M2 (8 core CPU / 10 core GPU) - Mémoire 8 Go - Disque 256 Go - Webcam - Haut‑parleurs stéréo à gamme dynamique élevée - Réseau de 3 microphones - Autonomie Jusqu'à 18 heures - 2 ports Thunderbolt - Bluetooth 5.0 - USB-C - Jack 3.5mm - Wi-Fi 6 AX - Couleur Silver - Garantie 1 an",En stock,,Apple M2,,8 Go,256 Go SSD,,,,,,,,,1 An,
PC PORTABLE GAMER ASUS TUF GAMING A15 TUF507UI,TUF507UI-LP063W-32,4,"Écran 15.6"", Full HD (1920 x 1080), IPS, anti-reflets - Taux de rafraîchissement: 144 Hz G-Sync - Processeur AMD Ryzen 9 8940HS, (jusqu’à 5.2 GHz, 24 Mo de mémoire cache) - Mémoire 32 Go DDR5 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Clavier chiclet rétroéclairé RGB - Caméra 720P HD - 2x haut-parleurs 2 W Dolby Atmos - Wi-Fi 6 - Bluetooth 5.2 - 1x jack audio 3.5mm - 1x HDMI 2.1 - 2x USB 3.2 - 1x USB 3.2 Type-C - 1x port LAN RJ45 - 1x Type C USB 4 DisplayPort - Windows 11 - Couleur Noir - Garantie 1 an",En stock,,AMD Ryzen 9,,32 Go,512 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,1 An,
PC PORTABLE DELL LATITUDE 7430 2 EN 1,7430I7-3Y,4,"Ecran 14"" FHD - Processeur Intel Core i7-1265U, up to 4.80 GHz, 12 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD M.2 NVME - Carte graphique Intel iris Xe - Lecteur de cartes - 1 x USB Type-C - 1 x USB Type-C Thunderbolt 4 - USB 3.2 - HDMI - Wifi - Bluetooth - Garantie 1 an",Sur commande,,Intel Core I7,,16 Go,512 Go SSD,Graphique Intégrée,,"14""",Full HD,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam Avec Micro,1 An,
APPLE MACBOOK PRO M2,MQKU3FN/A,5,"Ecran 15.6"" LED IPS Retina - Résolution : 2880 x 1864 Pixels - Processeur Apple M2 (8 core CPU / 10 core GPU) - Mémoire 8 Go - Disque 256 Go - Webcam - Haut‑parleurs stéréo à gamme dynamique élevée - Réseau de 3 microphones - Autonomie Jusqu'à 18 heures - 2 ports Thunderbolt - Bluetooth 5.0 - USB-C - Jack 3.5mm - Wi-Fi 6 AX - Couleur Starlight - Garantie 1 an",En stock,,Apple M2,,8 Go,256 Go SSD,,,,,,,,,1 An,
PC PORTABLE LENOVO THINKPAD L13 YOGA GEN 4,21FJ0028FE,5,"Écran Tactile OGS, multi-touch 13.3"" WUXGA (1 920 x 1 200), IPS Anti-reflet - Processeur Intel Core i7-1355U 13e génération, (jusqu'à 5 GHz, 12 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel Iris Xe - 2x Haut-parleurs stéréo 2W Dolby Audio Premium - Caméra Avant FHD 1080p + IR hybride avec obturateur de confidentialité - Clavier Rétroéclairé - Wi-Fi 6 - Bluetooth 5.2 - 1x HDMI 2.1 - 1x prise combo casque/microphone (3.5 mm) - 1x Thunderbolt 4 / USB4 40Gbps - 2x USB 3.2 - 1x USB-C 3.2 - Windows 11 Pro - Avec Stylet intégré Lenovo - Couleur Noir - Garantie 1 an",Sur commande,,Intel Core I7,,16 Go,512 Go SSD,Graphique Intégrée,,"13.3""",WUXGA,Oui,,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE LENOVO THINKPAD T16 GEN 1,21BWS1H60Y-4Y,5,"Écran 16"" WUXGA (1920 x 1200), IPS antireflet - Processeur Intel Core i7-1270P 12e génération, (jusqu’à 4.8 GHz, 18 Mo de mémoire cache) - Mémoire 32 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel Iris Xe Graphics - 2x Haut-parleurs stéréo 2 W, Dolby Audio - Caméra Hybride FHD 1080p avec obturateur de confidentialité - Wi-Fi 6E - Bluetooth 5.2 - 2x USB 3.2 - 2x Thunderbolt 4 / USB4 - 1x HDMI 2.1 - 1x prise combo casque/microphone (3.5 mm) - 1x Ethernet (RJ-45) - CLAVIER QWERTY - Windows 11 Pro - Couleur Noir - Garantie 4 ans",Sur commande,,Intel Core I7,,32 Go,512 Go SSD,Graphique Intégrée,,"16""",WUXGA,Non,,"WiFi, Ethernet, Bluetooth",Webcam FHD,3 Ans,
PC PORTABLE ASUS TUF507VI,TUF507VI-LP089W-16,5,"Écran 15.6"" Full HD IPS - Processeur : Intel Core i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Mémoire : 16 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA GeForce RTX 4070 (8 Go de mémoire dédiée GDDR6 - WiFi - Bluetooth - 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C - support DisplayPort™ - 1x Thunderbolt™ 4 support DisplayPort™ - 1x HDMI 2.1 - 1x RJ45 - 1x prise audio combinée 3,5 mm - Clavier Chiclet Rétroéclairé 1 zone RVB - Windows 11 - Garantie: 1 an",En stock,,Intel Core I7,,16 Go,,Nvidia GeForce,,,,,,,,1 An,
PC PORTABLE ASUS ZENBOOK S 13 OLED,UX5304MA-NQ039W,5,"Écran 13.3"" OLED 3K (2880 x 1800), 60Hz, HDR - Processeur Intel Core Ultra 7 155U, (jusqu’à 4.8 GHz, 12 Mo de mémoire cache) - Mémoire 32 Go LPDDR5X - Disque SSD M.2 NVMe 1 To - Carte graphique Intel Iris Xe - 1x USB 3.2 - 2x Thunderbolt 4 - 1x HDMI 2.1 TMDS - 1x prise audio combinée 3.5 mm - Clavier chiclet rétroéclairé - Caméra FHD avec fonction IR - Haut-parleur / Microphone intégré - Wi-Fi 6E - Bluetooth 5.3 - Windows 11 - Couleur Gris basalte - Garantie 1 an",En stock,,Intel Core Ultra 7,,32 Go,1 To SSD,Graphique Intégrée,,"13.3""",3K,Non,,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE GAMER ASUS TUF GAMING A15 TUF507UI,TUF507UI-LP063W-16,5,"Écran 15.6"", Full HD (1920 x 1080), IPS, anti-reflets - Taux de rafraîchissement: 144 Hz G-Sync - Processeur AMD Ryzen 9 8940HS, (jusqu’à 5.2 GHz, 24 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD NVMe M.2 512 Go - Carte graphique NVIDIA GeForce RTX 4070, 8 Go de mémoire GDDR6 dédiée - Clavier chiclet rétroéclairé RGB - Caméra 720P HD - 2x haut-parleurs 2 W Dolby Atmos - Wi-Fi 6 - Bluetooth 5.2 - 1x jack audio 3.5mm - 1x HDMI 2.1 - 2x USB 3.2 - 1x USB 3.2 Type-C - 1x port LAN RJ45 - 1x Type C USB 4 DisplayPort - Windows 11 - Couleur Noir - Garantie 1 an",En stock,,AMD Ryzen 9,,16 Go,512 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,,"WiFi, Ethernet, Bluetooth",Webcam Avec Micro,1 An,
PC PORTABLE ASUS TUF507VI,TUF507VI-LP089W-24,5,"Écran 15.6"" Full HD IPS - Processeur : Intel Core i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Mémoire : 24 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA GeForce RTX 4070 (8 Go de mémoire dédiée GDDR6 - WiFi - Bluetooth - 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C - support DisplayPort™ - 1x Thunderbolt™ 4 support DisplayPort™ - 1x HDMI 2.1 - 1x RJ45 - 1x prise audio combinée 3,5 mm - Clavier Chiclet Rétroéclairé 1 zone RVB - Windows 11 - Garantie: 1 an",En stock,,Intel Core I7,,24 Go,,Nvidia GeForce,,,,,,,,1 An,
