names,references,prices,descriptions,disponibilities,Système d'exploitation,Processeur,Réf processeur,Mémoire,Disque Dur,Carte Graphique,Réf Carte graphique,Taille Ecran,Type Ecran,Ecran Tactile,Lecteurs/Graveurs,Réseau,Caméra,Garantie,Taux de Rafraîchissement
PC PORTABLE ASUS EXPERTBOOK B2 B2502CBA,B2502CBA-KJ1662-16,1,"Écran 15.6"" Full HD (1920 x 1080 ) - Processeur Intel Core i3-1215U (Up to 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD 512 Go - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - 1x USB 2.0 Type-A - 1x USB 3.2 Gen 1 Type-A - 1x USB 3.2 Gen 2 Type-C - RJ45 - Jack 3,5mm - 720p HD camera - Capteur d'empreintes digitales intégré - Clavier rétroéclairé avec SensePoin - Couleur Bleu - Garantie 1 an",En stock,,Intel Core I3,,16 Go,,,,,,,,,,,
PC PORTABLE HP 15-FD0053NK,A2AP0EA-16-W11P,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - Couleur Silver - WINDOWS 11 - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3530,V3530I3-32,1,"Écran 15,6"" FHD, 120Hz - Processeur Processeur Intel Core i3-1305U, 13e génération, up to 4.5 GHz, 10 Mo de mémoire Cache - Mémoire 32 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD graphics - Webcam - WiFi - Bluetooth - USB 3.2 Type-A - USB 3.2 Type-C - 1 Prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,32 Go,256 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3530,N1612QVNB3530-UBU,1,"Écran15.6"" Full HD (1920 x 1 080 px), 120 Hz, antiéblouissement - Processeur Intel Core i3-1305U 13e génération, (jusqu'à 4.5 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel UHD Graphics intégrée - Clavier non rétroéclairé, Carbon Black - 1x USB 3.2 - 1x USB 2.0 - 1x USB-C 3.2 - 1x USB-C 3.2 DisplayPort 1.4 - 1x port audio universel - 1x port HDMI 1.4 - 1x port Ethernet RJ45 - 1 logement de carte SD - Webcam HD RVB 720p - 2x Haut-parleurs stéréo 2 W - Wi-Fi 6 - Bluetooth 5.3 - FreeDos - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,8 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3520,V3520I3-UBU-16W11P,1,"Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - WINDOWS 11 PROFESSIONNEL  - Garantie 1 an",En stock,,Intel Core I3,,16 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE LENOVO V15,82TT00QQFE-24,1,"Écran 15.6"" FULL HD - Processeur : Intel Core i3-1215U (up to 4,40 GHz Turbo max, 10 Mo de mémoire cache, Hexa-Core) - Mémoire : 24G - Disque Dur : 512 Go SSD - Carte Graphique : Intel UHD Graphics - Wi-Fi - Bluetooth - 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 - 1x HDMI 1.4b - 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - 1x connecteur d'alimentation - Couleur: Noir - Garantie: 2 ans",En stock,,Intel Core I3,,24 Go,512 Go SSD,,,"14"" - 15.6""",Full HD,,,,,,
PC PORTABLE DELL VOSTRO 3530,N1612PVNB3530-UBU,1,"Écran 15,6"" FHD, 120Hz - Processeur Processeur Intel Core i3-1305U, 12e génération, up to 4.5 GHz, 10 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 512 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Webcam - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,8 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3530,V3530I3-16-W11P,1,"Écran 15,6"" FHD, 120Hz - Processeur Processeur Intel Core i3-1305U, 13e génération, up to 4.5 GHz, 10 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD graphics - Webcam - WiFi - Bluetooth - USB 3.2 Type-A - USB 3.2 Type-C - 1 Prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 Pro - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,16 Go,256 Go SSD,Nvidia GeForce,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE DELL VOSTRO 3530,N1612PVNB3530-UBU-12,1,"Écran 15,6"" FHD, 120Hz - Processeur Processeur Intel Core i3-1305U, 12e génération, up to 4.5 GHz, 10 Mo de mémoire Cache - Mémoire 12 Go - Disque SSD 512 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Webcam - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Couleur Noir - Garantie 1 an",En stock,,Intel Core I3,,12 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0051NK,A2AN9EA-32,1,"Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 32 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Gold - Garantie 1 an",En stock,,Intel Core I3,,32 Go,512 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,Non,,,,1 An,
